cnty_fips,county,state,state_abb,climate_region,rur2urb,econdep,dw,wh,cnty_pop,pgrowth,prop_sw,Qmm,tmax_40,tmax_diff,ppt_40,ppt_diff,med_income,gini,pcollege,cook_pvi,house_dens,ppl_house,med_age_struc,prent,psfh,papt,rur2urbi
1001,Autauga,Alabama,AL,Southeast,metro_med,manufacuring,-2.1,97652.49,53155.00,0.25,0.00,543.91,32.38,0.72,112.81,0.46,27176.00,0.41,0.18,-26.30,36.13,2.47,22.00,0.21,0.71,0.02,8.00
1003,Baldwin,Alabama,AL,Southeast,urb_large_adj,services,-1.2,98499.12,175791.00,0.30,0.00,714.23,32.17,0.48,168.47,-15.74,24896.00,0.44,0.21,-27.80,63.33,1.74,17.00,0.16,0.63,0.15,6.00
1005,Barbour,Alabama,AL,Southeast,urb_small_adj,manufacuring,0.5,135499.91,27699.00,-0.05,0.00,500.79,32.38,0.30,120.38,1.83,14962.00,0.46,0.16,-4.04,13.57,2.31,31.00,0.26,0.59,0.01,4.00
1007,Bibb,Alabama,AL,Southeast,metro_large,nonspecialized,1.9,216328.10,22610.00,0.10,0.00,611.36,32.26,0.75,115.19,6.86,21435.00,0.41,0.15,-23.94,14.26,2.54,31.00,0.14,0.63,0.02,9.00
1009,Blount,Alabama,AL,Southeast,metro_large,nonspecialized,47,1094316.03,56692.00,0.12,0.96,558.33,31.45,0.71,105.97,-7.06,22352.00,0.42,0.17,-34.59,36.37,2.41,27.00,0.16,0.74,0.01,9.00
1011,Bullock,Alabama,AL,Southeast,urb_small_adj,farming,0.9,197973.52,10923.00,-0.07,0.00,552.41,32.06,0.39,118.07,-1.57,17013.00,0.53,0.17,20.06,7.28,2.40,32.00,0.19,0.63,0.01,4.00
1013,Butler,Alabama,AL,Southeast,urb_small_adj,nonspecialized,-0.1,117122.28,20895.00,-0.02,0.00,616.33,32.61,0.17,127.33,-3.06,17684.00,0.46,0.17,-9.20,12.89,2.09,32.00,0.25,0.65,0.02,4.00
1015,Calhoun,Alabama,AL,Southeast,metro_small,government,7.6,168988.76,117149.00,0.06,0.11,611.44,31.42,0.49,104.62,-6.69,19564.00,0.45,0.19,-17.62,87.26,2.21,34.00,0.26,0.70,0.05,7.00
1017,Chambers,Alabama,AL,Southeast,urb_small_adj,manufacuring,-0.2,123866.02,34579.00,-0.07,1.00,551.97,32.02,0.19,111.05,-5.95,16833.00,0.43,0.18,-7.71,28.12,2.06,36.00,0.23,0.74,0.02,4.00
1019,Cherokee,Alabama,AL,Southeast,rural_adj,nonspecialized,0,116243.11,25700.00,0.08,0.28,603.51,31.45,0.86,104.05,-12.75,20684.00,0.44,0.20,-22.23,28.80,1.61,28.00,0.16,0.62,0.01,2.00
1021,Chilton,Alabama,AL,Southeast,metro_large,nonspecialized,-0.9,118648.92,43121.00,0.10,0.37,581.71,32.08,0.72,113.81,6.02,21539.00,0.45,0.15,-29.40,27.56,2.25,27.00,0.22,0.64,0.00,9.00
1023,Choctaw,Alabama,AL,Southeast,rural_det,manufacuring,-0.5,163077.34,14111.00,-0.13,0.00,535.23,32.83,0.60,117.18,-1.95,15810.00,0.46,0.15,-5.12,8.12,1.90,33.00,0.10,0.69,0.02,1.00
